ID;MesSiniestro;Marca;Zona;Sexo;EstadoCivil;Edad;Categoria;CostoVehiculo;Fraude;TipoConductor;Modelo;Testigo;Anio;Pago
1;Dic;Honda;Urbana;Mujer;Soltero;21;Deportivo;Alto;0;1;3y;No;2022;260.1830744
2;Ene;Honda;Urbana;Hombre;Soltero;34;Deportivo;Alto;0;4;5mas;No;2022;41.68348781
3;Oct;Honda;Urbana;Hombre;Casado;47;Deportivo;Alto;0;3;5mas;No;2022;44.59271488
4;Jun;Toyota;Rural;Hombre;Casado;65;Deportivo;Bajo;0;2;5mas;No;2022;144.5967716
5;Ene;Honda;Urbana;Mujer;Soltero;27;Deportivo;Alto;0;1;5mas;No;2022;47.40009566
6;Oct;Honda;Urbana;Hombre;Soltero;20;Deportivo;Alto;0;3;5mas;No;2022;445.2025901
7;Feb;Honda;Urbana;Hombre;Casado;36;Deportivo;Alto;0;1;5mas;No;2022;98.08206225
8;Nov;Honda;Urbana;Hombre;Soltero;0;Deportivo;Alto;0;4;0y;No;2022;46.55996367
9;Dic;Honda;Urbana;Hombre;Soltero;30;Deportivo;Alto;0;4;5mas;Si;2022;84.17573842
10;Abr;Ford;Urbana;Hombre;Casado;42;Carga;Alto;0;1;5mas;No;2022;48.28272431
11;Mar;Mazda;Urbana;Hombre;Soltero;71;Sedan;Alto;0;3;5mas;No;2022;241.7432
12;Mar;Honda;Urbana;Hombre;Casado;52;Deportivo;Bajo;0;1;5mas;No;2022;117.9735648
13;Ene;Ford;Urbana;Hombre;Casado;28;Deportivo;Alto;0;1;5mas;No;2022;197.7053398
14;Ene;Honda;Rural;Hombre;Soltero;0;Sedan;Alto;0;3;0y;No;2022;105.8911646
15;Ene;Ford;Urbana;Hombre;Casado;61;Deportivo;Alto;0;1;5mas;No;2022;213.28157
16;Ago;Ford;Urbana;Hombre;Soltero;38;Deportivo;Alto;0;1;5mas;No;2022;102.736136
17;Abr;Ford;Urbana;Hombre;Casado;41;Sedan;Alto;0;4;5mas;No;2022;131.9698494
18;Jul;Chevrolet;Urbana;Mujer;Casado;28;Sedan;Bajo;0;1;5mas;No;2022;244.0948361
19;May;Pontiac;Urbana;Hombre;Soltero;32;Deportivo;Bajo;0;1;5mas;No;2022;439.701922
20;Abr;Honda;Urbana;Hombre;Casado;30;Deportivo;Alto;0;2;5mas;No;2022;228.3392814
21;Abr;Mazda;Urbana;Hombre;Casado;40;Deportivo;Bajo;0;1;5mas;No;2022;176.9051963
22;Ene;Chevrolet;Urbana;Hombre;Casado;47;Sedan;Bajo;0;2;5mas;No;2022;104.9225135
23;Ago;Mazda;Urbana;Hombre;Casado;63;Deportivo;Bajo;0;3;5mas;No;2022;93.48732334
24;Jun;Pontiac;Urbana;Hombre;Soltero;31;Deportivo;Medio;0;3;5mas;No;2022;79.80736604
25;Sep;Mazda;Urbana;Hombre;Casado;45;Sedan;Alto;0;3;5mas;No;2022;86.3366797
26;Mar;Pontiac;Urbana;Hombre;Casado;60;Deportivo;Bajo;0;4;5mas;No;2022;88.10999203
27;Mar;Honda;Urbana;Hombre;Casado;21;Sedan;Medio;0;2;5mas;No;2022;123.8386703
28;May;Accura;Urbana;Hombre;Casado;42;Sedan;Medio;0;3;5mas;No;2022;198.1331999
29;Jul;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;1;1;0y;No;2022;181.750264
30;May;Mazda;Urbana;Mujer;Casado;39;Sedan;Bajo;0;3;5mas;No;2022;78.16743289
31;Mar;Dodge;Urbana;Hombre;Casado;47;Sedan;Medio;0;1;5mas;No;2022;181.6468965
32;Mar;Honda;Urbana;Hombre;Soltero;0;Sedan;Alto;0;1;0y;No;2022;119.4692915
33;Mar;Chevrolet;Urbana;Hombre;Soltero;42;Sedan;Bajo;0;3;5mas;No;2022;93.24692957
34;Ene;Honda;Urbana;Hombre;Soltero;30;Sedan;Bajo;0;4;5mas;No;2022;63.49753328
35;Ene;Ford;Urbana;Hombre;Casado;42;Carga;Alto;0;1;5mas;No;2022;273.4379672
36;Oct;Chevrolet;Urbana;Hombre;Soltero;34;Deportivo;Bajo;0;3;5mas;No;2022;81.57438781
37;Oct;Honda;Urbana;Hombre;Casado;30;Sedan;Bajo;0;4;5mas;No;2022;114.7565388
38;Sep;Mazda;Urbana;Hombre;Soltero;27;Sedan;Medio;0;2;5mas;No;2022;193.8227151
39;Nov;Honda;Urbana;Hombre;Casado;55;Deportivo;Alto;0;1;5mas;No;2022;198.296499
40;Nov;Toyota;Urbana;Hombre;Casado;35;Sedan;Bajo;0;3;5mas;No;2022;188.920999
41;Mar;Chevrolet;Urbana;Mujer;Casado;35;Sedan;Bajo;0;1;5mas;No;2022;191.8055515
